#,,Symbol,Common Name,Internal,3'-end,2'-OH Blocked,,Exact Mass,Mass diff with Standard,internal Chemical Formula,3'-end chemical Formula,Formular diff(internal&3'end),,Chemistry,,,,,,,,,
40,,OHyW*,undermodified hydroxywybutosine,514.12133,452.16553,,,514.12133,169.0739,C18H23N6O10P,,,,,,,,,,,,,
41,,imG,wyosine,397.07873,335.12293,,,397.07873,52.0313,C14H16N5O7P,,,,,,,,,,,,,
42,,mimG,methylwyosine,411.09438,349.13858,,,411.09438,66.04695,C15H18N5O7P,,,,,,,,,,,,,
43,,Q,queuosine,471.11551,409.15971,,,471.11551,126.06808,C17H22N5O9P,,,,,,,,,,,,,
44,,oQ,epoxyqueuosine,487.11043,425.15463,,,487.11043,142.063,C17H22N5O10P,,,,,,,,,,,,,
45,,galQ,galactosyl-queuosine,633.16834,571.21254,,,633.16834,288.12091,C23H32N5O14P,,,,,,,,,,,,,
46,,manQ,mannosyl-queuosine,633.16834,571.21254,,,633.16834,288.12091,C23H32N5O14P,,,,,,,,,,,,,
47,,preQ0,7-cyano-7-deazaguanosine,369.04743,307.09163,,,369.04743,24,C12H12N5O7P,,,,,,,,,,,,,
48,,preQ1,7-aminomethyl-7-deazaguanosine,373.07873,311.12293,,,373.07873,28.0313,C12H16N5O7P,,,,,,,,,,,,,
49,,G+,archaeosine,386.07398,324.11818,,,386.07398,41.02655,C12H15N6O7P,,,,,,,,,,,,,
50,,Y,pseudouridine,306.0253,244.0695,,,306.0253,0,C9H11N2O8P,,,,,,,,,,,,,
51,,D,dihydrouridine,308.04095,246.08515,,,308.04095,2.01564999999999,C9H13N2O8P,,,,,,,,,,,,,
52,,m5U,5-methyluridine,320.04095,258.08515,,,320.04095,14.01565,C10H13N2O8P,,,,,,,,,,,,,
53,,Um,2'-O-methyluridine,320.04095,258.08515,Yes,,320.04095,14.01565,C10H13N2O8P,,,,NA,,,,,,,,,
54,,m5Um,"5,2'-O-dimethyluridine",334.0566,272.1008,Yes,,334.0566,28.0313,C11H15N2O8P,,,,NA,,,,,,,,,
55,,m1Y,1-methylpseudouridine,320.04095,258.08515,,,320.04095,14.01565,C10H13N2O8P,,,,,,,,,,,,,
56,,Ym,2'-O-methylpseudouridine,320.04095,258.08515,Yes,,320.04095,14.01565,C10H13N2O8P,,,,NA,,,,,,,,,
57,,s2U,2-thiouridine,322.00246,260.04666,,,322.00246,15.97716,C9H11N2O7PS,,,,,,,,,,,,,
58,,s4U,4-thiouridine,322.00246,260.04666,,,322.00246,15.97716,C9H11N2O7PS,,,,,,,,,,,,,
59,,m5s2U,5-methyl-2-thiouridine,336.01811,274.06231,,,336.01811,29.99281,C10H13N2O7PS,,,,,,,,,,,,,
60,,s2Um,2-thio-2'-O-methyluridine,336.01811,274.06231,Yes,,336.01811,29.99281,C10H13N2O7PS,,,,NA,,,,,,,,,
61,,acp3U,3-(3-amino-3-carboxypropyl)uridine,407.07298,345.11718,,,407.07298,101.04768,C13H18N3O10P,,,,,,,,,,,,,
62,,ho5U,5-hydroxyuridine,322.02022,260.06442,,,322.02022,15.99492, C9H11N2O9P,,,,,,,,,,,,,
63,,mo5U,5-methoxyuridine,336.03587,274.08007,,,336.03587,30.01057,C10H13N2O9P,,,,,,,,,,,,,
64,,cmo5U,uridine 5-oxyacetic acid,380.0257,318.0699,,,380.0257,74.0004,C11H13N2O11P,,,,,,,,,,,,,
65,,mcmo5U,uridine 5-oxyacetic acid methyl ester,394.04135,332.08555,,,394.04135,88.01605,C12H15N2O11P,,,,,,,,,,,,,
66,,chm5U,5-(carboxyhydroxymethyl)uridine,380.0257,318.0699,,,380.0257,74.0004,C11H13N2O11P,,,,,,,,,,,,,
67,,mchm5U,5-(carboxyhydroxymethyl)uridine methyl ester,394.04135,332.08555,,,394.04135,88.01605,C12H15N2O11P,,,,,,,,,,,,,
68,,mcm5U,5-methoxycarbonylmethyluridine,378.04643,316.09063,,,378.04643,72.02113,C12H15N2O10P,,,,,,,,,,,,,
69,,mcm5Um,5-methoxycarbonylmethyl-2'-O-methyluridine,392.06208,330.10628,Yes,,392.06208,86.03678,C13H17N2O10P,,,,NA,,,,,,,,,
70,,mcm5s2U,5-methoxycarbonylmethyl-2-thiouridine,394.02359,332.06779,,,394.02359,87.99829,C12H15N2O9PS,,,,,,,,,,,,,
71,,nm5s2U,5-aminomethyl-2-thiouridine,351.02901,289.07321,,,351.02901,45.00371,C10H14N3O7PS,,,,,,,,,,,,,
72,,mnm5U,5-methylaminomethyluridine,349.0675,287.1117,,,349.0675,43.0422,C11H16N3O8P,,,,,,,,,,,,,
73,,mnm5s2U,5-methylaminomethyl-2-thiouridine,365.04466,303.08886,,,365.04466,59.01936,C11H16N3O7PS,,,,,,,,,,,,,
74,,mnm5se2U,5-methylaminomethyl-2-selenouridine,412.98911,351.03331,,,412.98911,106.96381,C11H16N3O7PSe,,,,,,,,,,,,,
75,,ncm5U,5-carbamoylmethyluridine,363.04677,301.09097,,,363.04677,57.02147,C11H14N3O9P,,,,,,,,,,,,,
76,,ncm5Um,5-carbamoylmethyl-2'-O-methyluridine,377.06242,315.10662,Yes,,377.06242,71.03712,C12H16N3O9P,,,,NA,,,,,,,,,
77,,cmnm5U,5-carboxymethylaminomethyluridine,393.05733,331.10153,,,393.05733,87.03203,C12H16N3O10P,,,,,,,,,,,,,
